2024-02-05T09:50:38.520737
,Long Name,Sector,Price,Trailing PE,Forward PE,Market Cap,Dividend Yield,Payout Ratio
PETS,"PetMed Express, Inc.",Healthcare,6.45,,44.357143,131.322872,13.069999,12000.0
PFBC,Preferred Bank,Financial Services,72.73,6.764595,8.080989,988.029824,3.9,20.719999
PFC,Premier Financial Corp.,Financial Services,21.67,6.717042,8.668049,746.39968,5.94,39.87
PFIS,Peoples Financial Services Corp.,Financial Services,46.61,11.412533,7.947273,307.853888,3.75,42.82
PFS,"Provident Financial Services, Inc.",Financial Services,17.49,9.678362,7.5917425,1250.140544,5.8000002,56.14
PFSI,"PennyMac Financial Services, Inc.",Financial Services,89.03,20.522354,9.42919,4354.528256,0.92,18.82
PGC,Peapack-Gladstone Financial Corporation,Financial Services,29.23,10.177121,9.349153,489.260928,0.72000003,7.380000000000001
PGEN,"Precigen, Inc.",Healthcare,1.4,,-4.451613,343.508224,,
PGNY,"Progyny, Inc.",Healthcare,38.52,74.68628,54.414288,3650.400768,,
PGRE,"Paramount Group, Inc.",Real Estate,4.88,,-13.970588,1124.719232,3.8399998,1512.5
PGTI,"PGT Innovations, Inc.",Industrials,41.4,21.468752,16.82449,2403.979264,,
PHAT,"Phathom Pharmaceuticals, Inc.",Healthcare,7.11,,-1.475771,383.591744,,
PHR,"Phreesia, Inc.",Healthcare,25.69,,-70.77777,1417.577216,,
PI,"Impinj, Inc.",Technology,98.53,,96.98,2623.881216,,
PIII,P3 Health Partners Inc.,Healthcare,1.21,,-4.4814816,618.9344,,
PIPR,Piper Sandler Companies,Financial Services,180.2,41.307144,15.19177,3072.438528,1.38,57.14
PJT,PJT Partners Inc.,Financial Services,98.15,30.530157,22.522247,3746.860032,1.04,31.75
PKBK,"Parke Bancorp, Inc.",Financial Services,19.43,7.876596,,221.133424,3.8900003,30.64
PKE,Park Aerospace Corp.,Industrials,14.82,31.382978,28.92157,298.737664,3.39,101.06
PL,Planet Labs PBC,Industrials,2.34,,-11.3,650.034752,,
PLAB,"Photronics, Inc.",Technology,29.296,14.394089,11.2384615,1829.318016,,
PLAY,"Dave & Buster's Entertainment, Inc.",Communication Services,53.62,19.049822,12.110859,2151.322368,,
PLBY,"PLBY Group, Inc.",Consumer Cyclical,1.24,,-4.75,84.430448,,
PLCE,"The Children's Place, Inc.",Consumer Cyclical,22.06,,8.635659,277.99424,,
PLL,Piedmont Lithium Inc.,Basic Materials,15.88,,8.488889,293.518112,,
PLMR,"Palomar Holdings, Inc.",Financial Services,60.45,21.155478,15.195431,1480.662912,,
PLOW,"Douglas Dynamics, Inc.",Consumer Cyclical,25.55,21.31356,10.523012,578.047616,4.69,99.58
PLPC,Preformed Line Products Company,Industrials,127.38,8.333333,,598.226688,0.64999997,5.45
PLUS,ePlus inc.,Technology,77.64,14.928854,13.537635,2034.443264,,
PLXS,Plexus Corp.,Technology,95.67,21.04889,15.179488,2605.197824,,
PLYM,"Plymouth Industrial REIT, Inc.",Real Estate,22.55,,-245.99998,1023.543232,4.0700004,
PMT,PennyMac Mortgage Investment Trust,Real Estate,14.78,12.690266,11.203125,1242.18816,11.16,147.78999
PMVP,"PMV Pharmaceuticals, Inc.",Healthcare,1.78,,-1.0864197,90.037376,,
PNM,"PNM Resources, Inc.",Utilities,36.73,20.353933,13.319853,3109.798144,4.279999999999999,81.46
PNTG,"The Pennant Group, Inc.",Healthcare,15.66,35.7381,17.658823,449.196768,,
POR,Portland General Electric Company,Utilities,41.58,18.52036,13.419672,4139.00544,4.64,83.940005
POWI,"Power Integrations, Inc.",Technology,75.41,66.33628,59.968,4262.045696,1.0699999999999998,66.37000400000001
POWL,"Powell Industries, Inc.",Industrials,100.25,18.57837,22.448862,1418.531456,0.8999999999999999,16.459998000000002
POWW,"AMMO, Inc.",Industrials,2.2,,inf,257.060384,,
PPBI,"Pacific Premier Bancorp, Inc.",Financial Services,26.4,81.838715,11.966982,2431.970816,5.1999997,425.81
PR,Permian Resources Corporation,Energy,13.95,15.146068,9.04698,10403.23072,3.56,33.71
PRA,ProAssurance Corporation,Financial Services,13.75,,34.51282,686.046784,,88.24
PRAA,"PRA Group, Inc.",Financial Services,23.29,,-71.15625,893.58816,,
PRAX,"Praxis Precision Medicines, Inc.",Healthcare,39.36,,-3.7163546,568.813056,,
PRCH,"Porch Group, Inc.",Technology,2.39,,-2.8313253,232.355296,,
PRCT,PROCEPT BioRobotics Corporation,Healthcare,47.39,,-26.306818,2338.08512,,
PRDO,Perdoceo Education Corporation,Consumer Defensive,18.01,8.418605,8.619048,1188.95104,2.4300002000000003,5.12
PRFT,"Perficient, Inc.",Technology,69.55,23.989437,15.918222,2368.988928,,
PRG,"PROG Holdings, Inc.",Industrials,31.56,9.341463,9.256798,1370.2912,,
PRGS,Progress Software Corporation,Technology,57.26,36.18471,11.339321,2492.834304,1.23000005,44.59
PRIM,Primoris Services Corporation,Industrials,33.68,13.666666,11.194539,1750.221056,0.73,10.0
PRK,Park National Corporation,Financial Services,135.37,16.753845,16.861935,2106.104064,3.24,53.85
PRLB,"Proto Labs, Inc.",Industrials,37.39,,24.06,930.61312,,
PRM,"Perimeter Solutions, SA",Basic Materials,4.77,33.85714,26.33333,724.196096,,
PRME,"Prime Medicine, Inc.",Healthcare,6.8,,-3.395722,618.009344,,
PRMW,Primo Water Corporation,Consumer Defensive,14.99,19.972603,17.15294,2333.558272,2.19,42.470002
PRO,"PROS Holdings, Inc.",Technology,35.83,,172.09999,1592.317312,,
PRPL,"Purple Innovation, Inc.",Consumer Cyclical,0.9748,,-2.55,107.65692,,
PRTA,Prothena Corporation plc,Healthcare,29.98,,-6.267108,1523.557888,,
PRTH,"Priority Technology Holdings, Inc.",Technology,3.69,,-14.791667,272.365216,,
PRTS,"CarParts.com, Inc.",Consumer Cyclical,2.84,,-17.933332,154.671232,,
PRVA,"Privia Health Group, Inc.",Healthcare,20.31,63.0,69.51724,2380.17024,,
PSFE,Paysafe Limited,Technology,15.44,,16.351648,917.39072,,
PSMT,"PriceSmart, Inc.",Consumer Defensive,77.98,20.601625,18.014217,2319.811072,1.21,24.93
PSN,Parsons Corporation,Technology,66.0,50.89844,23.86447,6833.518592,,
PSTL,"Postal Realty Trust, Inc.",Real Estate,14.47,108.46155,94.0,374.573568,6.74,728.85
PTCT,"PTC Therapeutics, Inc.",Healthcare,26.52,,-4.333887,1968.832384,,
PTEN,"Patterson-UTI Energy, Inc.",Energy,11.5,8.943548,9.319327,4627.66848,2.8900001,25.81
PTGX,"Protagonist Therapeutics, Inc.",Healthcare,25.51,,-9.619231,1442.52928,,
PTLO,Portillo's Inc.,Consumer Cyclical,14.05,50.888885,37.135136,761.777216,,
PTSI,"P.A.M. Transportation Services, Inc.",Industrials,21.48,11.971098,12.182352,456.061088,,
PTVE,Pactiv Evergreen Inc.,Consumer Cyclical,14.93,,12.695653,2605.457664,2.74,51.95
PUBM,"PubMatic, Inc.",Technology,15.52,506.00003,89.29412,770.57024,,
PUMP,ProPetro Holding Corp.,Energy,8.9,8.213593,9.195652,932.613504,,
PVBC,"Provident Bancorp, Inc.",Financial Services,11.47,16.469696,19.763636,192.154416,1.65,
PWP,Perella Weinberg Partners,Financial Services,12.19,,12.368422,1012.750144,2.3800000000000003,
PWSC,"PowerSchool Holdings, Inc.",Technology,23.96,,24.020409,4753.691136,,
PZZA,"Papa John's International, Inc.",Consumer Cyclical,75.87,31.268087,26.149467,2406.903552,2.5,73.190004
QCRH,"QCR Holdings, Inc.",Financial Services,60.95,8.679049,9.140845,978.326592,0.41,3.5700000000000003
QLYS,"Qualys, Inc.",Technology,192.09,51.265583,35.55827,6958.712832,,
QNST,"QuinStreet, Inc.",Communication Services,12.89,,30.90244,691.515904,,
QRTEA,"Qurate Retail, Inc.",Consumer Cyclical,0.8387,4.2626314,3.115,357.578944,,
QSI,Quantum-Si incorporated,Healthcare,1.65,,-2.025974,221.095664,,
QTRX,Quanterix Corporation,Healthcare,22.98,,-22.09,835.658048,,
QTWO,"Q2 Holdings, Inc.",Technology,43.69,,34.593494,2494.919168,,
QUAD,"Quad/Graphics, Inc.",Industrials,5.77,,9.578948,280.143872,,
RAMP,"LiveRamp Holdings, Inc.",Technology,40.2,,24.675,2586.370304,,
RAPT,"RAPT Therapeutics, Inc.",Healthcare,25.17,,-7.112069,851.30592,,
RBB,RBB Bancorp,Financial Services,18.15,7.8973217,10.051137,329.196768,3.5900000000000003,28.57
RBBN,Ribbon Communications Inc.,Communication Services,3.11,,9.212121,522.062272,,
RBC,RBC Bearings Incorporated,Industrials,274.8,47.61348,27.885775,7810.486272,,
RBCAA,"Republic Bancorp, Inc.",Financial Services,53.88,10.961455,13.159382,991.02304,2.99,32.05
RBOT,Vicarious Surgical Inc.,Healthcare,0.41,,-0.87478256,70.375328,,
RC,Ready Capital Corporation,Real Estate,9.72,3.970339,7.3779526,1626.210432,11.310001,66.230005
RCKT,"Rocket Pharmaceuticals, Inc.",Healthcare,28.89,,-11.492,2590.265088,,
RCKY,"Rocky Brands, Inc.",Consumer Cyclical,27.83,20.129496,9.582191,206.43168,2.18,44.599998
RCM,R1 RCM Inc.,Healthcare,10.26,,73.14285,4291.153664,,
RCUS,"Arcus Biosciences, Inc.",Healthcare,15.7,,-4.0589814,1133.313792,,
RDFN,Redfin Corporation,Real Estate,8.52,,-7.3513513,940.37472,,
RDN,Radian Group Inc.,Financial Services,29.54,7.4883723,8.473684,4438.57664,3.11,22.610001
RDNT,"RadNet, Inc.",Healthcare,37.69,616.1667,64.85965,2510.0672,,
RDVT,"Red Violet, Inc.",Technology,18.75,20.527472,,258.635808,,
RDW,Redwire Corporation,Industrials,2.8,,-8.055555,187.919424,,
REAL,"The RealReal, Inc.",Consumer Cyclical,2.02,,-4.571429,198.43776,,
REFI,"Chicago Atlantic Real Estate Finance, Inc.",Real Estate,16.05,7.8955226,7.347222,288.55152,11.85,93.53
REI,"Ring Energy, Inc.",Energy,1.41,5.148148,2.7254903,271.925696,,
RELY,"Remitly Global, Inc.",Technology,16.74,,-33.60784,3173.607936,,
RENT,"Rent the Runway, Inc.",Consumer Cyclical,0.6366,,-0.6142,43.191584,,
REPL,"Replimune Group, Inc.",Healthcare,7.92,,-2.3586626,458.300192,,
REPX,"Riley Exploration Permian, Inc.",Energy,22.86,4.426295,3.0818307,453.870144,6.48,27.09
RES,"RPC, Inc.",Energy,7.65,8.122222,7.0970874,1580.626688,2.19,17.78
REVG,"REV Group, Inc.",Industrials,20.07,25.35065,9.429953,1166.093568,1.0199999,25.97
REX,REX American Resources Corporation,Basic Materials,42.51,14.888489,15.444029,724.478144,,
REZI,"Resideo Technologies, Inc.",Industrials,17.09,14.973215,10.681529,2449.895936,,
RGNX,REGENXBIO Inc.,Healthcare,12.24,,-3.6235292,541.98144,,
RGP,"Resources Connection, Inc.",Industrials,13.53,17.037973,8.797386,451.020384,4.16,70.89
RGR,"Sturm, Ruger & Company, Inc.",Industrials,44.93,13.68652,12.618497,773.773056,2.91,47.34
RGTI,"Rigetti Computing, Inc.",Technology,1.19,,-2.7555556,181.842288,,
RHP,"Ryman Hospitality Properties, Inc.",Real Estate,112.15,28.619793,24.36807,6561.964032,4.0,78.129995
RICK,"RCI Hospitality Holdings, Inc.",Consumer Cyclical,62.44,19.731628,9.245509,578.053824,0.3899999999999999,7.35
RIGL,"Rigel Pharmaceuticals, Inc.",Healthcare,1.24,,-12.999999,204.012896,,
RILY,"B. Riley Financial, Inc.",Financial Services,25.45,,,716.25152,17.080000000000002,246.91
RIOT,"Riot Platforms, Inc.",Financial Services,11.06,,-19.464285,2251.013632,,
RKLB,"Rocket Lab USA, Inc.",Industrials,4.975,,-16.724138,2356.551936,,
RLAY,"Relay Therapeutics, Inc.",Healthcare,9.51,,-3.0228758,1179.023488,,
RLGT,"Radiant Logistics, Inc.",Industrials,6.34,20.466665,11.37037,288.006528,,
RLI,RLI Corp.,Financial Services,139.2,20.630861,23.75784,6223.926784,0.7900001,16.189999999999998
RLJ,RLJ Lodging Trust,Real Estate,11.89,37.35484,41.357143,3622.096384,3.11,100.0
RLMD,"Relmada Therapeutics, Inc.",Healthcare,3.91,,-1.4886364,118.289856,,
RLYB,Rallybio Corporation,Healthcare,1.39,,-0.675,51.021496,,
RM,Regional Management Corp.,Financial Services,25.24,8.89781,5.068607,239.77096,4.9200002,43.8
RMAX,"RE/MAX Holdings, Inc.",Real Estate,11.18,,8.0074625,330.45072,8.57,9200.0
RMBL,"RumbleON, Inc.",Consumer Cyclical,6.83,,-9.013514,233.88488,,
RMBS,Rambus Inc.,Technology,69.74,26.156488,32.325474,7367.591424,,
RMNI,"Rimini Street, Inc.",Technology,3.31,25.23077,8.631579,293.195904,,
RMR,The RMR Group Inc.,Real Estate,26.27,7.5843024,13.379487,435.956064,6.1300002,46.51
RNA,"Avidity Biosciences, Inc.",Healthcare,11.83,,-3.4843304,971.249024,,
RNST,Renasant Corporation,Financial Services,32.95,12.25969,11.460145,1775.777792,2.78,34.150000000000006
ROAD,"Construction Partners, Inc.",Industrials,45.0,48.404255,27.083334,2403.64672,,
ROCK,"Gibraltar Industries, Inc.",Industrials,83.26,26.187702,17.180466,2462.913536,,
ROG,Rogers Corporation,Technology,118.56,21.586142,22.780632,2145.92384,,
ROIC,Retail Opportunity Investments Corp.,Real Estate,13.83,46.862072,48.535713,1712.367232,4.42,206.9
ROOT,"Root, Inc.",Financial Services,8.48,,-0.76056343,118.260008,,
ROVR,"Rover Group, Inc.",Communication Services,10.95,182.33333,68.375,1988.968576,,
RPAY,Repay Holdings Corporation,Technology,7.87,,8.80899,759.501568,,
RPD,"Rapid7, Inc.",Technology,58.21,,30.743017,3381.428224,,
RRBI,"Red River Bancshares, Inc.",Financial Services,52.05,10.001953,11.132608,363.16288,0.61000003,6.0500003
RRR,"Red Rock Resorts, Inc.",Consumer Cyclical,55.05,15.712644,23.773914,3193.240832,1.83,28.74
RSI,"Rush Street Interactive, Inc.",Consumer Cyclical,5.18,,inf,1158.00064,,
RSVR,"Reservoir Media, Inc.",Communication Services,7.02,,70.0,453.675584,,
RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,46.83,10.324138,14.440515,3541.05472,1.50999995,13.57
RUSHB,"Rush Enterprises, Inc.",Consumer Cyclical,48.03,10.866667,,3541.846528,1.4400001,13.57
RVLV,"Revolve Group, Inc.",Consumer Cyclical,14.82,32.75,29.408163,1039.736256,,
RVMD,"Revolution Medicines, Inc.",Healthcare,28.22,,-8.51227,4545.366528,,
RVNC,"Revance Therapeutics, Inc.",Healthcare,5.45,,-2.6473687,441.701952,,
RWT,"Redwood Trust, Inc.",Real Estate,6.86,,9.585714,882.364992,9.54,230.77002
RXRX,"Recursion Pharmaceuticals, Inc.",Healthcare,9.72,,-5.0864863,2031.374336,,
RXST,"RxSight, Inc.",Healthcare,46.49,,-43.759617,1632.061312,,
RXT,"Rackspace Technology, Inc.",Technology,1.71,,-28.0,363.563776,,
RYAM,Rayonier Advanced Materials Inc.,Basic Materials,4.39,,-14.466666,283.590368,,
RYI,Ryerson Holding Corporation,Industrials,34.93,12.389892,11.25246,1172.75904,2.09,25.0
SABR,Sabre Corporation,Consumer Cyclical,4.22,,27.333332,1555.872,,
SAFE,Safehold Inc.,Real Estate,20.49,,13.152318,1411.378688,3.56,38.27
SAFT,"Safety Insurance Group, Inc.",Financial Services,85.0,39.297173,16.661999,1232.313216,4.32,169.81
SAGE,"Sage Therapeutics, Inc.",Healthcare,25.87,,-4.128824,1541.135744,,
SAH,"Sonic Automotive, Inc.",Consumer Cyclical,51.76,,7.2748203,1713.311616,2.3699999,89.08
SAIA,"Saia, Inc.",Industrials,455.0,35.845665,28.108545,11961.952256,,
SAMG,Silvercrest Asset Management Group Inc.,Financial Services,17.47,13.672132,9.423729,155.828896,4.5600000000000005,59.84
SANA,"Sana Biotechnology, Inc.",Healthcare,5.65,,-5.083333,1082.260096,,
SANM,Sanmina Corporation,Technology,64.27,12.948052,9.146789,3336.526336,,
SASR,"Sandy Spring Bancorp, Inc.",Financial Services,25.76,8.930403,8.676156,1094.993536,5.58,49.82
SATS,EchoStar Corporation,Technology,13.51,12.063064,-23.910715,3634.20672,,
SAVA,"Cassava Sciences, Inc.",Healthcare,24.67,,-44.351852,1011.57376,,
SAVE,"Spirit Airlines, Inc.",Industrials,6.29,,-1.9968253,686.666688,,
SB,"Safe Bulkers, Inc.",Industrials,4.12,6.121212,6.516129,450.84784,4.95,30.3
SBCF,Seacoast Banking Corporation of Florida,Financial Services,25.62,19.96748,14.114943,2084.186112,2.93,57.720000000000006
SBGI,"Sinclair, Inc.",Communication Services,16.29,9.235293,5.1140065,997.1792,6.370000000000001,58.81999999999999
SBH,"Sally Beauty Holdings, Inc.",Consumer Cyclical,12.35,7.2899404,5.9516907,1315.43104,,
SBOW,"SilverBow Resources, Inc.",Energy,27.81,2.001507,3.1543941,675.410176,,
SBRA,"Sabra Health Care REIT, Inc.",Real Estate,13.66,,22.233334,3084.47488,9.0,631.58
SBSI,"Southside Bancshares, Inc.",Financial Services,32.45,11.099291,10.756013,946.793664,4.4699997,49.650002
SBT,"Sterling Bancorp, Inc. (Southfield, MI)",Financial Services,5.59,36.066666,33.8125,281.700864,,
SCHL,Scholastic Corporation,Communication Services,39.11,22.091953,12.440129,1148.518016,2.08,45.98
SCL,Stepan Company,Basic Materials,93.0,39.153507,24.127026,1996.737664,1.68,64.03999999999999
SCS,Steelcase Inc.,Industrials,13.23,20.126986,12.808081,1448.334976,3.15,63.490003
SCSC,"ScanSource, Inc.",Technology,40.0,12.503183,9.303318,986.38784,,
SCVL,"Shoe Carnival, Inc.",Consumer Cyclical,26.44,8.793103,8.793103,691.855808,1.88,14.140001
SCWX,SecureWorks Corp.,Technology,6.7337,,344.5,594.81024,,
SD,"SandRidge Energy, Inc.",Energy,14.65,3.3031673,13.394495,541.532992,2.74,2.26
SDGR,"Schrödinger, Inc.",Healthcare,27.4,47.232143,-11.500001,1905.267584,,
SEAS,"SeaWorld Entertainment, Inc.",Consumer Cyclical,50.52,13.034302,10.905077,3158.833664,,
SEAT,Vivid Seats Inc.,Communication Services,5.86,10.25,14.0,1205.979648,,
SEER,"Seer, Inc.",Healthcare,1.75,,-1.3030303,109.779344,,
SEM,Select Medical Holdings Corporation,Healthcare,26.68,14.683616,11.551111,3332.281856,1.9199999,28.25
SENEA,Seneca Foods Corporation,Consumer Defensive,54.86,6.7741117,,381.045664,,
SENS,"Senseonics Holdings, Inc.",Healthcare,0.55,,-3.748,296.999584,,
SFBS,"ServisFirst Bancshares, Inc.",Financial Services,68.25,17.71504,16.139423,3656.55168,1.79,30.08
SFIX,"Stitch Fix, Inc.",Consumer Cyclical,3.34,,-4.923077,377.2512,,
SFL,SFL Corporation Ltd.,Industrials,12.3,15.602565,12.5463915,1672.97344,8.2200006,121.79
SFM,"Sprouts Farmers Market, Inc.",Consumer Defensive,51.28,20.728394,17.989286,5115.62752,,
SFNC,Simmons First National Corporation,Financial Services,19.67,10.925287,11.591464,2379.74784,4.42,42.700002
SFST,"Southern First Bancshares, Inc.",Financial Services,38.36,22.58434,9.563776,303.243136,,
SG,"Sweetgreen, Inc.",Consumer Cyclical,10.95,,-18.736843,1200.70976,,
SGC,"Superior Group of Companies, Inc.",Consumer Cyclical,13.68,28.95652,18.760563,219.857248,4.2,121.74
SGH,"SMART Global Holdings, Inc.",Technology,20.56,inf,9.357143,1018.46144,,
SGHT,"Sight Sciences, Inc.",Healthcare,4.5,,-4.1980195,206.699568,,
SGMO,"Sangamo Therapeutics, Inc.",Healthcare,0.4785,,-0.95208335,81.047584,,
SGRY,"Surgery Partners, Inc.",Healthcare,31.33,,28.952833,3882.070272,,
SHAK,Shake Shack Inc.,Consumer Cyclical,76.12,1889.0,157.41667,3196.369152,,
SHBI,"Shore Bancshares, Inc.",Financial Services,13.42,21.932203,8.242038,428.905344,3.7100002,81.36
SHCR,"Sharecare, Inc.",Healthcare,1.14,,-6.2777777,398.239104,,
SHEN,Shenandoah Telecommunications Company,Communication Services,20.78,292.7143,inf,1029.919616,0.44,114.29
SHLS,"Shoals Technologies Group, Inc.",Technology,13.5,15.313953,15.867471,2239.65056,,
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,10.84,26.675,32.333332,2192.087552,2.8099999,55.00000000000001
SHOO,"Steven Madden, Ltd.",Consumer Cyclical,43.01,18.78027,15.284672,3124.591616,2.01,37.669998
SHYF,"The Shyft Group, Inc.",Industrials,11.41,13.37037,19.0,371.358528,1.85,24.69
SIBN,"SI-BONE, Inc.",Healthcare,20.29,,-20.21,818.525184,,
SIG,Signet Jewelers Limited,Consumer Cyclical,100.15,11.648712,9.349624,4408.685056,0.92,10.42
SIGA,"SIGA Technologies, Inc.",Healthcare,4.95,,4.3963966,346.927008,,
SIGI,"Selective Insurance Group, Inc.",Financial Services,106.5,20.12668,13.530323,6353.310208,1.34000005,23.030001
SILK,"Silk Road Medical, Inc",Healthcare,15.21,,-10.086667,589.24544,,
SITC,SITE Centers Corp.,Real Estate,13.49,33.3,111.0,2789.993984,3.9,130.0
SITM,SiTime Corporation,Technology,108.68,,90.31356,2418.30784,,
SJW,SJW Group,Utilities,60.5,18.664577,21.340502,1901.29088,2.5899999,47.02
SKIL,Skillsoft Corp.,Consumer Defensive,14.03,,-1.3964144,115.276232,,
SKIN,The Beauty Health Company,Consumer Defensive,3.05,,73.25,384.61232,,
SKLZ,Skillz Inc.,Communication Services,5.3,,-1.1545064,115.388632,,
SKT,Tanger Inc.,Real Estate,27.53,30.91954,31.279068,2896.672768,3.87,106.9
SKWD,"Skyward Specialty Insurance Group, Inc.",Financial Services,31.91,17.77143,12.904564,1238.638336,,
SKY,Skyline Champion Corporation,Consumer Cyclical,69.9,16.581114,18.558266,3945.660416,,
SKYT,"SkyWater Technology, Inc.",Technology,8.92,,78.545456,406.292576,,
SKYW,"SkyWest, Inc.",Industrials,54.57,,9.198618,2180.661504,,
SLAB,Silicon Laboratories Inc.,Technology,123.64,67.78022,-649.2632,3920.2944,,
SLCA,"U.S. Silica Holdings, Inc.",Energy,11.02,5.6125655,7.768116,827.095168,,
SLDP,"Solid Power, Inc.",Industrials,1.62,,-3.6818182,289.067936,,
SLP,"Simulations Plus, Inc.",Healthcare,39.47,71.50944,47.375,756.753152,0.63,45.279998
SLQT,"SelectQuote, Inc.",Financial Services,1.17,,-27.750002,186.183616,,
SLVM,Sylvamo Corporation,Basic Materials,48.46,6.868343,9.157791,1929.33824,2.5799999,15.529999
SM,SM Energy Company,Energy,38.52,5.421053,6.853975,4312.923136,1.94,8.77
SMBC,"Southern Missouri Bancorp, Inc.",Financial Services,47.06,10.984887,9.459869,494.384768,1.91,21.16
SMBK,"SmartFinancial, Inc.",Financial Services,24.15,13.763313,10.430493,395.161824,1.38,18.93
SMCI,"Super Micro Computer, Inc.",Technology,503.35,41.505486,20.679811,29580.412928,,
SMMF,"Summit Financial Group, Inc.",Financial Services,29.72,7.425197,6.735715,415.396224,3.11,22.049999
SMP,"Standard Motor Products, Inc.",Consumer Cyclical,41.16,13.865978,11.661849,876.777216,2.87,39.180002
SMPL,The Simply Good Foods Company,Consumer Defensive,38.91,28.854963,18.712872,3772.912384,,
SMR,NuScale Power Corporation,Industrials,2.92,,-6.282609,221.881216,,
SMRT,"SmartRent, Inc.",Technology,3.02,,295.0,599.307264,,
SMTC,Semtech Corporation,Technology,20.61,,29.17647,1275.410432,,
SNBR,Sleep Number Corporation,Consumer Cyclical,11.03,51.5,16.885246,228.9484,,
SNCE,"Science 37 Holdings, Inc.",Healthcare,5.68,,-1.6775148,33.849108,,
SNCY,"Sun Country Airlines Holdings, Inc.",Industrials,13.75,10.975806,9.195946,732.509248,,
SNDX,"Syndax Pharmaceuticals, Inc.",Healthcare,19.75,,-6.4231973,1737.750656,,
SNEX,StoneX Group Inc.,Financial Services,67.58,8.018292,9.068966,2059.855488,,
SNPO,Snap One Holdings Corp.,Technology,8.35,,13.85965,604.590144,,
SOI,"Solaris Oilfield Infrastructure, Inc.",Energy,7.76,9.49367,6.2499995,331.899008,6.4,55.06
SOND,Sonder Holdings Inc.,Consumer Cyclical,2.68,,-0.24713741,28.657572,,
SONO,"Sonos, Inc.",Technology,15.9,,43.277775,1934.272512,,
SOVO,"Sovos Brands, Inc.",Consumer Defensive,22.05,,25.639534,2237.082624,,
SP,SP Plus Corporation,Industrials,51.78,29.56,14.530899,1024.197056,,
SPCE,"Virgin Galactic Holdings, Inc.",Industrials,1.81,,-1.745098,711.492672,,
SPFI,"South Plains Financial, Inc.",Financial Services,28.61,7.0890055,10.496124,444.575072,1.9199999,13.61
SPHR,Sphere Entertainment Co.,Communication Services,35.15,4.3251834,235.86667,1242.205952,,
SPIR,"Spire Global, Inc.",Industrials,7.13,,-3.9281769,148.261984,,
SPNS,Sapiens International Corporation N.V.,Technology,28.49,26.0,19.09091,1521.497216,1.87,48.57
SPNT,SiriusPoint Ltd.,Financial Services,11.86,9.833333,7.375,1977.443968,,
SPSC,"SPS Commerce, Inc.",Technology,190.02,110.05988,58.349205,6745.01888,,
SPT,"Sprout Social, Inc.",Technology,63.6,,322.7895,3434.112,,
SPTN,SpartanNash Company,Consumer Defensive,22.86,18.385246,9.464135,776.6096,3.83,70.08
SPWH,"Sportsman's Warehouse Holdings, Inc.",Consumer Cyclical,4.08,,-55.0,144.03696,,
SPWR,SunPower Corporation,Technology,3.08,,-9.46875,531.343808,,
SPXC,"SPX Technologies, Inc.",Industrials,104.88,52.968422,21.367304,4594.02496,,
SQSP,"Squarespace, Inc.",Technology,31.99,,72.093025,4215.069952,,
SR,Spire Inc.,Utilities,58.46,14.745455,12.476923,3021.821696,5.3200003,74.81
SRCE,1st Source Corporation,Financial Services,54.71,10.39165,11.615556,1277.196544,2.5999999,25.840000000000003
SRDX,"Surmodics, Inc.",Healthcare,35.12,,-92.65789,501.172096,,
SRI,"Stoneridge, Inc.",Consumer Cyclical,18.42,,39.533337,490.078944,,
SSB,SouthState Corporation,Financial Services,84.85,12.863777,11.430536,6317.428224,2.5,31.58
SSD,"Simpson Manufacturing Co., Inc.",Basic Materials,187.34,21.701439,21.242958,7723.368448,0.6,12.71
SSP,The E.W. Scripps Company,Communication Services,8.26,,4.427778,674.424576,,
SSTI,"SoundThinking, Inc.",Technology,19.7,,-2064.0,262.553184,,
SSTK,"Shutterstock, Inc.",Communication Services,48.49,14.407976,11.236843,1677.420928,2.55,32.209998
STAA,STAAR Surgical Company,Healthcare,29.14,73.710526,30.78022,1367.378176,,
STAG,"STAG Industrial, Inc.",Real Estate,37.69,36.574257,46.175,6861.161472,4.01,145.30001
STBA,"S&T Bancorp, Inc.",Financial Services,34.9,8.914438,11.076412,1274.6816,3.96,34.489999999999995
STC,Stewart Information Services Corporation,Financial Services,63.48,48.171875,15.262377,1687.15328,3.08,142.57999999999998
STEL,"Stellar Bancorp, Inc.",Financial Services,25.91,14.72353,11.919048,1333.873792,2.08,30.59
STEM,"Stem, Inc.",Technology,3.06,,-5.1929827,461.45216,,
STEP,StepStone Group LP,Financial Services,34.25,30.135136,21.037735,3779.950336,2.51,95.5
STER,Sterling Check Corp.,Technology,13.84,,11.559323,1286.048896,,
STGW,Stagwell Inc.,Communication Services,6.66,,7.0869565,1780.488064,,
STHO,Star Holdings,Real Estate,11.93,,,154.37416,,
STKL,SunOpta Inc.,Consumer Defensive,6.06,,49.583332,692.913152,,
STKS,"The ONE Group Hospitality, Inc.",Consumer Cyclical,4.61,29.333332,10.731708,137.602528,,
STNE,StoneCo Ltd.,Technology,17.72,27.285715,14.445378,5401.029632,,
STNG,Scorpio Tankers Inc.,Energy,71.24,5.916318,5.9461727,3754.72128,1.98,6.69
